age,gender,native_language,race,education,player_id
26,male,English,White Asian,high-school,672
29,male,English,Black,bachelors,673
34,male,English,Black,high-school,674
27,male,English,Black,advanced-degree,675
33,male,English,White,bachelors,676
NA,NA,NA,NA,NA,677
33,male,English,White,some-college,678
33,male,English,White,some-college,679
34,female,English,White,some-college,680
23,male,English,White,some-college,681
28,female,English,White,less-than-high-school,682
34,male,English,White,advanced-degree,683
25,female,English,Native American,bachelors,684
45,male,English,White,bachelors,685
36,female,English,White,high-school,686
27,male,English,White,some-college,687
29,female,English,White,high-school,688
26,male,English,White,bachelors,689
20,female,English,Asian,some-college,690
45,male,English,Black,bachelors,691
21,female,English,White,bachelors,692
33,male,English,White,bachelors,693
56,female,English,NA,NA,694
26,male,English,White,bachelors,695
39,male,English,White,high-school,696
37,female,English,White,bachelors,697
24,female,English,White,some-college,698
45,male,English,White,bachelors,699
21,male,English,White Black,some-college,700
29,male,English,White,some-college,701
34,male,English,White,bachelors,702
26,female,English,Asian,bachelors,703
NA,NA,NA,NA,NA,704
NA,NA,NA,NA,NA,705
NA,NA,NA,NA,NA,706
22,female,English,White,some-college,707
35,male,English,White,NA,708
34,male,English,Asian,bachelors,709
29,male,English,Pacific Islander,bachelors,710
36,male,English,White,high-school,711
52,female,English,White,high-school,712
25,female,English,White,some-college,713
36,male,English,White,some-college,714
39,female,English,White,high-school,715
41,male,English,White,bachelors,716
35,female,English,White,some-college,717
33,female,British English,White,bachelors,718
55,male,English,White,bachelors,719
43,male,English,Asian,advanced-degree,720
38,female,English,White,bachelors,721
NA,NA,NA,NA,NA,722
55,female,English,White,bachelors,723
29,male,English/ cantonese,Asian,bachelors,724
33,male,English,White,some-college,725
34,female,English,White,some-college,726
37,female,English,White,bachelors,727
24,male,English,White Hispanic,bachelors,728
21,female,English,White,some-college,729
53,female,English,White,advanced-degree,730
20,male,English,White,high-school,731
62,male,English,White,bachelors,732
44,male,English / Cantonese,Asian,bachelors,733
23,female,english and ASL,White,bachelors,734
41,female,English,Black,bachelors,735
33,female,English,Black,some-college,736
32,male,English,White,bachelors,737
36,female,English,White,advanced-degree,738
33,female,English,White,bachelors,739
31,male,English,White,bachelors,740
18,female,English,White,less-than-high-school,741
58,male,NA,White,advanced-degree,742
34,female,English,White,bachelors,743
44,male,English,White,bachelors,744
38,female,English,White,bachelors,745
53,male,English,White,bachelors,746
33,male,English,Asian,bachelors,747
NA,NA,NA,NA,NA,748
NA,NA,NA,NA,NA,749
NA,NA,NA,NA,NA,750
NA,NA,NA,NA,NA,751
71,male,English,White,bachelors,752
60,male,English,White,bachelors,753
65,male,English,White,some-college,754
49,female,English,Asian,bachelors,755
44,male,English,White,advanced-degree,756
38,female,English,White,high-school,757
28,male,English,Black,advanced-degree,758
33,male,English,White Black,bachelors,759
31,male,English,Asian,bachelors,760
30,male,English,White,bachelors,761
45,male,English,White,high-school,762
35,male,English,Black,some-college,763
38,male,English,White Pacific Islander,advanced-degree,764
43,female,English,White,bachelors,765
27,male,English,Black,high-school,766
19,male,English,White,high-school,767
26,male,English,White,bachelors,768
61,male,English,White,high-school,769
30,female,English,White,advanced-degree,770
21,male,English,White,some-college,771
40,female,English,White,bachelors,772
43,male,English,White,advanced-degree,773
48,female,English,White,bachelors,774
21,male,English,White,high-school,775
38,female,English,Asian,bachelors,776
39,female,English,White,bachelors,777
49,male,English,White,some-college,778
28,male,English,White Asian,advanced-degree,779
19,male,English,Asian,high-school,780
39,male,English,White,advanced-degree,781
21,female,English (British),White,bachelors,782
22,male,Polish,White,some-college,783
NA,male,English,White,some-college,784
28,male,English,Black,high-school,785
27,male,Filipino,Asian,some-college,786
18,male,English,White,some-college,787
30,female,English,White,some-college,788
31,female,English,White,bachelors,789
30,female,English,White,high-school,790
35,male,English,White,high-school,791
32,male,English,Asian,bachelors,792
33,female,English,White,high-school,793
36,male,English,White,advanced-degree,794
41,male,English and Yoruba,Black,bachelors,795
38,male,English,White,bachelors,796
NA,NA,NA,NA,NA,797
NA,NA,NA,NA,NA,798
NA,NA,NA,NA,NA,799
NA,NA,NA,NA,NA,800
33,female,English,White Asian Hispanic,advanced-degree,801
39,female,English,White,advanced-degree,802
29,male,English,White,advanced-degree,803
22,female,English,White,bachelors,804
30,male,English,Black,bachelors,805
42,male,English,White,bachelors,806
51,male,English,White,some-college,807
NA,NA,NA,NA,NA,808
NA,NA,NA,NA,NA,809
NA,NA,NA,NA,NA,810
NA,NA,NA,NA,NA,811
26,male,English,White,high-school,812
47,male,English,Black,bachelors,813
27,male,English,Black,advanced-degree,814
58,male,English,White,bachelors,815
24,female,English,Hispanic,bachelors,816
51,female,English,White,advanced-degree,817
20,female,English,White,some-college,818
44,female,English,White,bachelors,819
55,male,English,White,high-school,820
NA,NA,NA,NA,NA,821
NA,NA,NA,NA,NA,822
NA,NA,NA,NA,NA,823
NA,NA,NA,NA,NA,824
44,male,English,White,bachelors,825
31,female,English,Asian,bachelors,826
35,female,English,White,bachelors,827
33,male,English,White,bachelors,828
27,male,English,White,bachelors,829
60,female,English,White,bachelors,830
26,male,English,White,some-college,831
19,male,English,Black,some-college,832
50,male,English,White,high-school,833
33,male,English,White,high-school,834
52,male,English,White,bachelors,835
37,female,English,Black,bachelors,836
22,female,English,Black,bachelors,837
39,male,English,White,advanced-degree,838
37,female,English,White Hispanic,bachelors,839
50,female,English,White,some-college,840
25,male,English,Asian,bachelors,841
37,male,English,White,bachelors,842
28,male,English,White,high-school,843
39,female,English,Black,bachelors,844
29,male,English,White,advanced-degree,845
27,male,English,Asian,advanced-degree,846
64,female,English,White,bachelors,847
50,female,English,White,advanced-degree,848
64,female,English,White,bachelors,849
61,male,English,White,advanced-degree,850
25,male,English,White,advanced-degree,851
55,male,English,White,some-college,852
30,female,English,White,high-school,853
NA,nonbinary,English,White,advanced-degree,854
23,male,English,Hispanic,some-college,855
24,female,English,White,advanced-degree,856
23,male,English,White,high-school,857
21,male,English,White,high-school,858
41,female,English,Asian,bachelors,859
21,male,English,White,high-school,860
40,male,English,White,bachelors,861
NA,NA,NA,NA,NA,862
NA,NA,NA,NA,NA,863
NA,NA,NA,NA,NA,864
28,male,English,White,some-college,865
34,male,English,White Asian,bachelors,866
30,female,English,White,some-college,867
65,female,English,White,bachelors,868
26,female,English,White,bachelors,869
31,female,English,White Black,high-school,870
43,female,English,White,bachelors,871
53,male,English,White,bachelors,872
32,female,English,Hispanic,bachelors,873
55,female,English,White,advanced-degree,874
23,female,English,Black Hispanic,bachelors,875
49,female,English,White,advanced-degree,876
52,male,English,White,bachelors,877
NA,male,English,Asian,some-college,878
18,female,English,White Asian Hispanic,high-school,879
21,male,English,Black,bachelors,880
26,male,English,Black,some-college,881
30,male,English,White,some-college,882
42,male,English,White,some-college,883
45,male,English,White,some-college,884
31,male,English,Hispanic,bachelors,885
31,female,English,White,some-college,886
24,male,English,White,bachelors,887
27,female,English,White,bachelors,888
20,male,English,White,some-college,889
