image_id,image_type,kilogram_id,image_path
COCO_val2014_000000182784.jpg,photograph,NA,NA
COCO_val2014_000000543577.jpg,photograph,NA,NA
COCO_val2014_000000556000.jpg,photograph,NA,NA
COCO_val2014_000000516415.jpg,photograph,NA,NA
COCO_val2014_000000192838.jpg,photograph,NA,NA
COCO_val2014_000000021879.jpg,photograph,NA,NA
COCO_val2014_000000391222.jpg,photograph,NA,NA
COCO_val2014_000000508370.jpg,photograph,NA,NA
COCO_val2014_000000006471.jpg,photograph,NA,NA
COCO_val2014_000000174888.jpg,photograph,NA,NA
COCO_val2014_000000096034.jpg,photograph,NA,NA
COCO_val2014_000000235808.jpg,photograph,NA,NA
COCO_val2014_000000417193.jpg,photograph,NA,NA
COCO_val2014_000000213008.jpg,photograph,NA,NA
COCO_val2014_000000233119.jpg,photograph,NA,NA
COCO_val2014_000000250301.jpg,photograph,NA,NA
COCO_val2014_000000211177.jpg,photograph,NA,NA
COCO_val2014_000000246478.jpg,photograph,NA,NA
COCO_val2014_000000058949.jpg,photograph,NA,NA
COCO_val2014_000000080974.jpg,photograph,NA,NA
COCO_val2014_000000293166.jpg,photograph,NA,NA
COCO_val2014_000000577840.jpg,photograph,NA,NA
COCO_val2014_000000404476.jpg,photograph,NA,NA
COCO_val2014_000000293891.jpg,photograph,NA,NA
COCO_val2014_000000198234.jpg,photograph,NA,NA
COCO_val2014_000000133836.jpg,photograph,NA,NA
COCO_val2014_000000186472.jpg,photograph,NA,NA
COCO_val2014_000000448786.jpg,photograph,NA,NA
COCO_val2014_000000557672.jpg,photograph,NA,NA
COCO_val2014_000000207937.jpg,photograph,NA,NA
COCO_val2014_000000456239.jpg,photograph,NA,NA
COCO_val2014_000000385669.jpg,photograph,NA,NA
COCO_val2014_000000066523.jpg,photograph,NA,NA
COCO_val2014_000000161854.jpg,photograph,NA,NA
COCO_val2014_000000081469.jpg,photograph,NA,NA
COCO_val2014_000000134199.jpg,photograph,NA,NA
COCO_val2014_000000296433.jpg,photograph,NA,NA
COCO_val2014_000000065465.jpg,photograph,NA,NA
COCO_val2014_000000522880.jpg,photograph,NA,NA
COCO_val2014_000000498650.jpg,photograph,NA,NA
COCO_val2014_000000542163.jpg,photograph,NA,NA
COCO_val2014_000000278973.jpg,photograph,NA,NA
COCO_val2014_000000326420.jpg,photograph,NA,NA
COCO_val2014_000000358763.jpg,photograph,NA,NA
COCO_val2014_000000579548.jpg,photograph,NA,NA
COCO_val2014_000000281376.jpg,photograph,NA,NA
COCO_val2014_000000499842.jpg,photograph,NA,NA
COCO_val2014_000000413779.jpg,photograph,NA,NA
COCO_val2014_000000575428.jpg,photograph,NA,NA
COCO_val2014_000000412094.jpg,photograph,NA,NA
COCO_val2014_000000495349.jpg,photograph,NA,NA
COCO_val2014_000000240158.jpg,photograph,NA,NA
COCO_val2014_000000236189.jpg,photograph,NA,NA
COCO_val2014_000000328238.jpg,photograph,NA,NA
COCO_val2014_000000401244.jpg,photograph,NA,NA
COCO_val2014_000000263664.jpg,photograph,NA,NA
COCO_val2014_000000352476.jpg,photograph,NA,NA
COCO_val2014_000000005535.jpg,photograph,NA,NA
COCO_val2014_000000320872.jpg,photograph,NA,NA
COCO_val2014_000000307172.jpg,photograph,NA,NA
COCO_val2014_000000360393.jpg,photograph,NA,NA
COCO_val2014_000000116208.jpg,photograph,NA,NA
COCO_val2014_000000402588.jpg,photograph,NA,NA
COCO_val2014_000000203539.jpg,photograph,NA,NA
COCO_val2014_000000169198.jpg,photograph,NA,NA
COCO_val2014_000000217303.jpg,photograph,NA,NA
COCO_val2014_000000515485.jpg,photograph,NA,NA
COCO_val2014_000000392990.jpg,photograph,NA,NA
COCO_val2014_000000010216.jpg,photograph,NA,NA
COCO_val2014_000000099553.jpg,photograph,NA,NA
COCO_val2014_000000192607.jpg,photograph,NA,NA
COCO_val2014_000000159223.jpg,photograph,NA,NA
COCO_val2014_000000342770.jpg,photograph,NA,NA
