room_num,image_options,target_image,stage_num,trial_num,round_num,exclude,exclusion_reason,order_match,condition_id,describer,matchers,trial_id,game_id
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_2,1,9,1,FALSE,NA,match,1,30,10,90,10
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_8,1,10,1,FALSE,NA,match,1,21,1,91,1
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_8,1,10,1,FALSE,NA,match,1,22,2,92,2
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_8,1,10,1,FALSE,NA,match,1,23,3,93,3
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_8,1,10,1,FALSE,NA,match,1,24,4,94,4
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_8,1,10,1,FALSE,NA,match,1,25,5,95,5
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_8,1,10,1,FALSE,NA,match,1,26,6,96,6
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_8,1,10,1,FALSE,NA,match,1,27,7,97,7
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_8,1,10,1,FALSE,NA,match,1,28,8,98,8
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_8,1,10,1,FALSE,NA,match,1,29,9,99,9
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_8,1,10,1,FALSE,NA,match,1,30,10,100,10
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_6,1,11,2,FALSE,NA,match,1,21,1,101,1
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_6,1,11,2,FALSE,NA,match,1,22,2,102,2
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_6,1,11,2,FALSE,NA,match,1,23,3,103,3
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_6,1,11,2,FALSE,NA,match,1,24,4,104,4
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_6,1,11,2,FALSE,NA,match,1,25,5,105,5
1,basket_1;basket_2;basket_3;basket_4;basket_5;basket_6;basket_7;basket_8;basket_9;basket_10;basket_11;basket_12;basket_13,basket_6,1,11,2,FALSE,NA,match,1,26,6,106,6
