text,player_id,role,message_number,message_irrelevant,time_stamp,trial_id
the c,4,describer,1,FALSE,NA,178
"four ovals, the inner one three ovals outside of it",4,describer,1,FALSE,NA,179
the bench,4,describer,1,FALSE,NA,180
looks like the paw print,4,describer,1,FALSE,NA,181
looks like a plate with little mounds growing on it,4,describer,1,FALSE,NA,182
"looks like an artistic 7 the bottom loops back up, coming off of it would be like a vine or flower little circles coming off",4,describer,1,FALSE,NA,183
looks like a vine all connected to each other,4,describer,1,FALSE,NA,184
"looks like it would be a mask, all black symmetrical on the top there is lines coming from it it would be like feathers",4,describer,1,FALSE,NA,185
looks like a handheld mirror hten there is an x running through the top of it,4,describer,1,FALSE,NA,186
just looks like sand,4,describer,1,FALSE,NA,187
"looks like if you dropped a kleenex, how it just lands",4,describer,1,FALSE,NA,188
like an 8 a line goes up to another figure that is black looks like an m,4,describer,1,FALSE,NA,189
looks like a chain ball,4,describer,1,FALSE,NA,190
a diagnal gray line which has three horizontal lines crossing it the last one is kind of squiggle,4,describer,1,FALSE,NA,191
five boxes stacked on top of each other their colors slightly differ each other,4,describer,1,FALSE,NA,192
"has a thick black outlines, and it is gray inside, looks like four triangles linked together",4,describer,1,FALSE,NA,193
looks like an insect with wings it is flat on top,4,describer,1,FALSE,NA,194
a dark grey ball on top of a backwards c that is lighter grey,4,describer,1,FALSE,NA,195
two black lines coming out with dark grey circles on each top kind of looks like a flower,4,describer,1,FALSE,NA,196
the top part is rectangle and the bottom part is rounded sort of like curved,4,describer,1,FALSE,NA,197
"sort of three pieces, the top looks like sort of y and then a horizontal line underneath it, it looks like maybe a mound there are four little mounds",4,describer,1,FALSE,NA,198
"looks like a face, a grey oval the outline is black and kind of thick",4,describer,1,FALSE,NA,199
two arrow heads that are gray and they are next to each other,4,describer,1,FALSE,NA,200
"a square-ish thing that is white, inside of it, there is two half circles, gray and white kind of checked in columns, maybe looks like a graph",4,describer,1,FALSE,NA,201
"a grey arrow and an x in it, there is a line coming out of it",4,describer,1,FALSE,NA,202
grey lines making something like a checkerboard on the bottom there is a curved line and a half circle on top right,4,describer,1,FALSE,NA,203
"two crescents, one is black upside down, and the other is right on top of it between two of them, it is gray",4,describer,1,FALSE,NA,204
"capital d looking thing, but there is a line coming out of it",4,describer,1,FALSE,NA,205
"a circle with a V coming out of it, kind of looks like an insect head maybe with an antenna coming out of it",4,describer,1,FALSE,NA,206
the rhino,4,describer,1,FALSE,NA,207
looks like a turtle with big eyes,4,describer,1,FALSE,NA,208
like a little square orb around it,4,describer,1,FALSE,NA,209
looks like tools it almost looks like pliers there is a rounded end forceps on the other end; there is a second piece like a long skinny pole with a hammer end,4,describer,1,FALSE,NA,210
two zigzag lines,4,describer,1,FALSE,NA,211
two pictures one's like an x the other one's just a squiggly line,4,describer,1,FALSE,NA,212
