room_num,option_set,target,stage_num,trial_num,rep_num,exclude,exclusion_reason,condition_id,describer,matchers,trial_id,game_id
1,page8-247;page6-206;page1-117;page2-140;page1-30;page9-39;page1-185;page3-33;page6-228;page7-81,page1-117,1,15,3,NA,NA,1,66,67,98,50
1,page8-182;page5-139;page6-1;page7-127;page5-56;page3-201;page7-125;page5-84;page6-162;page8-206,page5-56,1,8,2,NA,NA,1,26,32,99,25
1,page6-196;page7-41;page6-109;page5-65;page2-85;page4-98;page4-96;page6-52;page3-33;page5-80,page4-98,1,14,3,NA,NA,1,53,104,100,43
1,page1-117;page6-206;page1-30;page7-81;page9-39;page8-247;page2-140;page6-228;page1-185;page3-33,page9-39,1,23,4,NA,NA,1,67,66,101,50
1,page7-44;page7-55;page6-206;page1-48;page8-38;page5-45;page9-40;page1-133;F;page4-195,page1-48,1,13,3,NA,NA,1,68,25,102,24
1,page5-85;page7-225;page5-63;page3-33;page5-84;page6-208;page5-71;page4-128;page6-52;page4-155,page5-85,1,28,5,NA,NA,1,69,43,103,35
1,page8-58;page5-96;page8-159;page7-53;page1-150;page6-226;page7-73;page6-206;page5-128;page6-71,page8-58,1,18,3,NA,NA,1,55,81,104,44
1,page3-70;page3-12;page7-29;page1-77;page6-23;page7-73;page3-33;page5-65;page4-190;page5-40,page3-33,1,13,3,NA,NA,1,46,54,105,38
1,page4-11;page6-219;page1-95;page1-77;page2-36;page1-34;page9-40;page5-85;page5-26;page2-133,page9-40,1,12,2,NA,NA,1,58,7,106,6
1,page3-70;page8-156;page7-40;page2-165;page8-21;page6-171;page1-95;page3-61;page7-29;page5-101,page5-101,1,30,5,NA,NA,1,70,18,107,17
1,page6-155;page7-113;page2-34;page7-115;page7-44;page3-33;page6-52;page5-121;page6-175;page5-63,page7-115,1,8,2,NA,NA,1,71,42,108,34
1,page8-156;page8-192;page6-162;page7-53;page7-145;page7-177;page7-226;F;page7-41;page7-36,page8-156,1,29,5,NA,NA,1,15,92,109,14
1,page2-86;page7-126;page5-101;page8-169;page3-139;page6-166;page6-167;page4-180;page5-165;page1-117,page4-180,1,12,2,NA,NA,1,72,45,110,37
1,page5-63;page6-208;page4-128;page5-71;page3-33;page6-52;page5-84;page5-85;page4-155;page7-225,page6-208,1,2,1,NA,NA,1,73,12,111,11
1,page1-117;page6-206;page1-30;page7-81;page9-39;page8-247;page2-140;page6-228;page1-185;page3-33,page1-30,1,11,2,NA,NA,1,34,19,112,18
1,page8-247;page6-206;page1-117;page2-140;page1-30;page9-39;page1-185;page3-33;page6-228;page7-81,page1-117,1,1,1,NA,NA,1,74,16,113,15
1,page5-26;page7-20;page7-125;page2-100;page7-126;page8-169;page7-202;page7-116;page5-40;page4-244,page2-100,1,12,2,NA,NA,1,33,6,114,5
1,page7-22;page3-66;page5-232;page7-225;page8-248;page4-142;page7-157;page8-21;page5-45;page5-85,page5-232,1,16,3,NA,NA,1,4,114,115,4
1,page8-58;page5-96;page8-159;page7-53;page1-150;page6-226;page7-73;page6-206;page5-128;page6-71,page8-159,1,17,3,NA,NA,1,55,81,116,44
1,page2-36;page4-197;page1-150;page3-33;page5-153;page6-124;page7-107;page5-40;page8-58;page5-45,page5-153,1,25,5,NA,NA,1,17,37,117,16
1,page7-44;page7-55;page6-206;page1-48;page8-38;page5-45;page9-40;page1-133;F;page4-195,page4-195,1,15,3,NA,NA,1,75,103,118,51
1,page7-202;page8-183;page7-79;page6-121;page1-133;page6-206;page7-20;page6-135;page1-77;page4-5,page6-135,1,21,4,NA,NA,1,5,2,119,2
1,page5-63;page6-208;page4-128;page5-71;page3-33;page6-52;page5-84;page5-85;page4-155;page7-225,page4-128,1,22,4,NA,NA,1,76,98,120,52
1,page5-63;page6-208;page4-128;page5-71;page3-33;page6-52;page5-84;page5-85;page4-155;page7-225,page5-63,1,16,3,NA,NA,1,76,98,121,52
1,page6-52;page7-36;page6-186;page2-136;page1-186;page2-165;page6-219;page1-133;page7-126;page7-186,page6-186,1,7,2,NA,NA,1,77,51,122,41
1,page5-154;page8-56;page3-70;page7-216;page7-115;page5-26;page6-204;page7-55;page5-86;page7-166,page7-115,1,25,5,NA,NA,1,62,31,123,29
1,page6-196;page7-41;page6-109;page5-65;page2-85;page4-98;page4-96;page6-52;page3-33;page5-80,page7-41,1,15,3,NA,NA,1,78,13,124,12
1,page2-36;page4-197;page1-150;page3-33;page5-153;page6-124;page7-107;page5-40;page8-58;page5-45,page6-124,1,1,1,NA,NA,1,79,22,125,21
1,page8-246;page7-125;page6-160;page5-85;page1-185;page5-139;page4-180;page5-154;page7-177;page7-126,page7-126,1,19,4,NA,NA,1,48,94,126,40
1,page3-70;page3-12;page7-29;page1-77;page6-23;page7-73;page3-33;page5-65;page4-190;page5-40,page5-40,1,23,4,NA,NA,1,24,97,127,23
1,page5-86;page8-56;page7-216;page7-55;page5-154;page3-70;page6-204;page7-166;page5-26;page7-115,page5-26,1,21,4,NA,NA,1,31,62,128,29
1,page7-44;page7-55;page6-206;page1-48;page8-38;page5-45;page9-40;page1-133;F;page4-195,page6-206,1,30,5,NA,NA,1,75,103,129,51
1,page5-102;page2-133;page4-241;page6-171;page7-216;page2-86;page6-219;page4-180;page1-95;page8-21,page6-219,1,22,4,NA,NA,1,80,115,130,53
1,page6-171;page4-241;page5-102;page2-133;page1-95;page6-219;page7-216;page2-86;page8-21;page4-180,page2-133,1,5,1,NA,NA,1,64,232,131,49
1,page6-71;page7-15;page8-169;page5-66;page7-20;page9-39;page5-153;page3-12;page6-160;page5-84,page5-84,1,14,3,NA,NA,1,41,36,132,31
1,page6-185;page6-228;page8-234;page1-132;page7-203;page6-52;page5-85;page7-113;page5-63;page6-21,page6-21,1,22,4,NA,NA,1,52,65,133,42
1,page6-226;page5-96;page6-206;page7-53;page6-71;page7-73;page8-159;page5-128;page8-58;page1-150,page6-226,1,16,3,NA,NA,1,81,55,134,44
1,page1-117;page6-206;page1-30;page7-81;page9-39;page8-247;page2-140;page6-228;page1-185;page3-33,page1-30,1,11,2,NA,NA,1,82,28,135,26
1,page7-44;page7-55;page6-206;page1-48;page8-38;page5-45;page9-40;page1-133;F;page4-195,page4-195,1,2,1,NA,NA,1,49,35,136,30
1,page3-61;page7-202;page4-190;page2-16;page7-126;page7-166;page1-95;page5-96;page5-153;page7-127,page7-126,1,29,5,NA,NA,1,83,14,137,13
1,page6-208;page3-33;page7-107;page2-20;page8-169;page8-38;page7-41;page5-86;page7-125;page5-165,page8-169,1,7,2,NA,NA,1,59,63,138,46
1,page5-153;page8-169;page3-12;page6-71;page7-15;page6-160;page7-20;page9-39;page5-84;page5-66,page5-84,1,8,2,NA,NA,1,36,41,139,31
1,page6-71;page7-15;page8-169;page5-66;page7-20;page9-39;page5-153;page3-12;page6-160;page5-84,page7-15,1,25,5,NA,NA,1,41,36,140,31
1,page5-139;page5-154;page7-126;page8-246;page6-160;page7-125;page5-85;page4-180;page1-185;page7-177,page4-180,1,14,3,NA,NA,1,84,9,141,8
1,page6-71;page7-15;page8-169;page5-66;page7-20;page9-39;page5-153;page3-12;page6-160;page5-84,page5-84,1,14,3,NA,NA,1,85,95,142,54
1,page6-155;page7-113;page2-34;page7-115;page7-44;page3-33;page6-52;page5-121;page6-175;page5-63,page3-33,1,20,4,NA,NA,1,3,27,143,3
1,page2-36;page4-197;page1-150;page3-33;page5-153;page6-124;page7-107;page5-40;page8-58;page5-45,page7-107,1,28,5,NA,NA,1,17,37,144,16
1,page6-122;page9-40;page7-226;page7-125;page8-246;page6-160;page7-145;page5-101;page8-183;page8-21,page7-125,1,2,1,NA,NA,1,86,113,145,55
1,page8-247;page6-206;page1-117;page2-140;page1-30;page9-39;page1-185;page3-33;page6-228;page7-81,page1-117,1,1,1,NA,NA,1,66,67,146,50
1,page3-61;page7-202;page4-190;page2-16;page7-126;page7-166;page1-95;page5-96;page5-153;page7-127,page7-126,1,13,3,NA,NA,1,83,14,147,13
1,page1-77;page8-183;page6-206;page6-121;page6-135;page7-79;page1-133;page4-5;page7-202;page7-20,page6-206,1,13,3,NA,NA,1,2,5,148,2
1,page5-65;page7-29;page7-73;page6-23;page5-40;page1-77;page4-190;page3-70;page3-12;page3-33,page6-23,1,1,1,NA,NA,1,87,117,149,56
1,page1-48;page1-133;page9-40;page8-38;page7-44;F;page5-45;page4-195;page6-206;page7-55,page1-48,1,9,2,NA,NA,1,25,68,150,24
1,page7-202;page8-183;page7-79;page6-121;page1-133;page6-206;page7-20;page6-135;page1-77;page4-5,page6-206,1,23,4,NA,NA,1,30,38,151,28
1,page5-165;page8-159;page5-45;page4-232;page9-40;page7-127;page7-157;page8-234;page3-70;page8-58,page4-232,1,21,4,NA,NA,1,88,111,152,57
