room_num,image_options,target_image,stage_num,trial_num,round_num,exclude,exclusion_reason,order_match,condition_id,describer,matchers,trial_id,game_id
1,/tangrams/403_386.png;/tangrams/348_432.png;/tangrams/128_429.png;/tangrams/334_285.png,/tangrams/334_285.png,1,12,1,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,71,2
1,/tangrams/92_96.png;/tangrams/122_139.png;/tangrams/399_260.png;/tangrams/305_251.png,/tangrams/305_251.png,1,1,1,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,72,2
1,/tangrams/15_188.png;/tangrams/399_260.png;/tangrams/92_96.png;/tangrams/348_432.png,/tangrams/15_188.png,1,36,3,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,73,2
1,/tangrams/115_220.png;/tangrams/128_429.png;/tangrams/15_188.png;/tangrams/248_455.png,/tangrams/248_455.png,1,10,1,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,74,2
1,/tangrams/399_260.png;/tangrams/458_59.png;/tangrams/128_429.png;/tangrams/223_184.png,/tangrams/458_59.png,1,41,3,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,75,2
1,/tangrams/128_429.png;/tangrams/248_455.png;/tangrams/399_260.png;/tangrams/349_309.png,/tangrams/128_429.png,1,52,4,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,76,2
1,/tangrams/122_139.png;/tangrams/198_389.png;/tangrams/15_188.png;/tangrams/334_285.png,/tangrams/122_139.png,1,51,4,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,77,2
1,/tangrams/223_184.png;/tangrams/122_139.png;/tangrams/115_220.png;/tangrams/399_260.png,/tangrams/115_220.png,1,57,4,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,78,2
1,/tangrams/348_432.png;/tangrams/305_251.png;/tangrams/92_96.png;/tangrams/334_285.png,/tangrams/305_251.png,1,17,2,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,79,2
1,/tangrams/223_184.png;/tangrams/403_386.png;/tangrams/198_389.png;/tangrams/458_59.png,/tangrams/458_59.png,1,9,1,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,80,2
1,/tangrams/128_429.png;/tangrams/399_260.png;/tangrams/15_188.png;/tangrams/458_59.png,/tangrams/128_429.png,1,40,3,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,81,2
1,/tangrams/92_96.png;/tangrams/223_184.png;/tangrams/66_99.png;/tangrams/348_432.png,/tangrams/92_96.png,1,47,3,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,82,2
1,/tangrams/223_184.png;/tangrams/66_99.png;/tangrams/128_429.png;/tangrams/305_251.png,/tangrams/223_184.png,1,22,2,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,83,2
1,/tangrams/223_184.png;/tangrams/348_432.png;/tangrams/403_386.png;/tangrams/92_96.png,/tangrams/92_96.png,1,53,4,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,84,2
1,/tangrams/223_184.png;/tangrams/458_59.png;/tangrams/115_220.png;/tangrams/403_386.png,/tangrams/223_184.png,1,4,1,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,85,2
1,/tangrams/399_260.png;/tangrams/248_455.png;/tangrams/128_429.png;/tangrams/458_59.png,/tangrams/399_260.png,1,48,3,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,86,2
1,/tangrams/223_184.png;/tangrams/305_251.png;/tangrams/399_260.png;/tangrams/122_139.png,/tangrams/305_251.png,1,44,3,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,87,2
1,/tangrams/399_260.png;/tangrams/122_139.png;/tangrams/15_188.png;/tangrams/349_309.png,/tangrams/399_260.png,1,14,1,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,88,2
1,/tangrams/128_429.png;/tangrams/122_139.png;/tangrams/305_251.png;/tangrams/223_184.png,/tangrams/128_429.png,1,8,1,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,89,2
1,/tangrams/334_285.png;/tangrams/458_59.png;/tangrams/349_309.png;/tangrams/66_99.png,/tangrams/334_285.png,1,49,4,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,90,2
1,/tangrams/458_59.png;/tangrams/122_139.png;/tangrams/305_251.png;/tangrams/349_309.png,/tangrams/349_309.png,1,28,2,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,91,2
1,/tangrams/305_251.png;/tangrams/403_386.png;/tangrams/66_99.png;/tangrams/248_455.png,/tangrams/66_99.png,1,35,3,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,92,2
1,/tangrams/66_99.png;/tangrams/334_285.png;/tangrams/248_455.png;/tangrams/15_188.png,/tangrams/248_455.png,1,63,4,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,93,2
1,/tangrams/128_429.png;/tangrams/66_99.png;/tangrams/403_386.png;/tangrams/399_260.png,/tangrams/66_99.png,1,27,2,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,94,2
1,/tangrams/15_188.png;/tangrams/66_99.png;/tangrams/198_389.png;/tangrams/223_184.png,/tangrams/198_389.png,1,3,1,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,95,2
1,/tangrams/223_184.png;/tangrams/458_59.png;/tangrams/348_432.png;/tangrams/15_188.png,/tangrams/223_184.png,1,56,4,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,96,2
1,/tangrams/334_285.png;/tangrams/305_251.png;/tangrams/122_139.png;/tangrams/348_432.png,/tangrams/348_432.png,1,62,4,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,97,2
1,/tangrams/458_59.png;/tangrams/66_99.png;/tangrams/349_309.png;/tangrams/198_389.png,/tangrams/66_99.png,1,7,1,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,98,2
1,/tangrams/334_285.png;/tangrams/198_389.png;/tangrams/66_99.png;/tangrams/15_188.png,/tangrams/198_389.png,1,34,3,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,99,2
1,/tangrams/349_309.png;/tangrams/348_432.png;/tangrams/92_96.png;/tangrams/128_429.png,/tangrams/348_432.png,1,45,3,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,100,2
1,/tangrams/458_59.png;/tangrams/128_429.png;/tangrams/122_139.png;/tangrams/349_309.png,/tangrams/122_139.png,1,26,2,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,101,2
1,/tangrams/223_184.png;/tangrams/122_139.png;/tangrams/198_389.png;/tangrams/248_455.png,/tangrams/248_455.png,1,31,2,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,102,2
1,/tangrams/334_285.png;/tangrams/15_188.png;/tangrams/305_251.png;/tangrams/458_59.png,/tangrams/15_188.png,1,2,1,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,103,2
1,/tangrams/348_432.png;/tangrams/92_96.png;/tangrams/66_99.png;/tangrams/115_220.png,/tangrams/115_220.png,1,21,2,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,104,2
1,/tangrams/92_96.png;/tangrams/223_184.png;/tangrams/122_139.png;/tangrams/349_309.png,/tangrams/92_96.png,1,11,1,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,105,2
1,/tangrams/115_220.png;/tangrams/348_432.png;/tangrams/92_96.png;/tangrams/223_184.png,/tangrams/223_184.png,1,46,3,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,106,2
1,/tangrams/92_96.png;/tangrams/403_386.png;/tangrams/334_285.png;/tangrams/305_251.png,/tangrams/334_285.png,1,19,2,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,107,2
1,/tangrams/122_139.png;/tangrams/128_429.png;/tangrams/115_220.png;/tangrams/92_96.png,/tangrams/122_139.png,1,13,1,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,108,2
1,/tangrams/399_260.png;/tangrams/15_188.png;/tangrams/348_432.png;/tangrams/248_455.png,/tangrams/348_432.png,1,15,1,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,109,2
1,/tangrams/403_386.png;/tangrams/15_188.png;/tangrams/458_59.png;/tangrams/198_389.png,/tangrams/198_389.png,1,18,2,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,110,2
1,/tangrams/349_309.png;/tangrams/458_59.png;/tangrams/403_386.png;/tangrams/128_429.png,/tangrams/349_309.png,1,38,3,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,111,2
1,/tangrams/128_429.png;/tangrams/334_285.png;/tangrams/115_220.png;/tangrams/66_99.png,/tangrams/115_220.png,1,5,1,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,112,2
1,/tangrams/66_99.png;/tangrams/403_386.png;/tangrams/458_59.png;/tangrams/349_309.png,/tangrams/403_386.png,1,32,2,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,113,2
1,/tangrams/248_455.png;/tangrams/349_309.png;/tangrams/92_96.png;/tangrams/223_184.png,/tangrams/349_309.png,1,6,1,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,114,2
1,/tangrams/305_251.png;/tangrams/248_455.png;/tangrams/403_386.png;/tangrams/349_309.png,/tangrams/403_386.png,1,37,3,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,115,2
1,/tangrams/403_386.png;/tangrams/92_96.png;/tangrams/198_389.png;/tangrams/15_188.png,/tangrams/198_389.png,1,58,4,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,116,2
1,/tangrams/122_139.png;/tangrams/305_251.png;/tangrams/128_429.png;/tangrams/223_184.png,/tangrams/305_251.png,1,60,4,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,117,2
1,/tangrams/305_251.png;/tangrams/349_309.png;/tangrams/198_389.png;/tangrams/348_432.png,/tangrams/349_309.png,1,59,4,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,118,2
1,/tangrams/115_220.png;/tangrams/92_96.png;/tangrams/128_429.png;/tangrams/349_309.png,/tangrams/92_96.png,1,25,2,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,119,2
1,/tangrams/92_96.png;/tangrams/248_455.png;/tangrams/458_59.png;/tangrams/403_386.png,/tangrams/403_386.png,1,64,4,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,120,2
1,/tangrams/349_309.png;/tangrams/223_184.png;/tangrams/128_429.png;/tangrams/399_260.png,/tangrams/128_429.png,1,30,2,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,121,2
1,/tangrams/458_59.png;/tangrams/15_188.png;/tangrams/128_429.png;/tangrams/198_389.png,/tangrams/15_188.png,1,54,4,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,122,2
1,/tangrams/248_455.png;/tangrams/458_59.png;/tangrams/223_184.png;/tangrams/198_389.png,/tangrams/248_455.png,1,43,3,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,123,2
1,/tangrams/223_184.png;/tangrams/399_260.png;/tangrams/458_59.png;/tangrams/66_99.png,/tangrams/458_59.png,1,29,2,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,124,2
1,/tangrams/403_386.png;/tangrams/458_59.png;/tangrams/92_96.png;/tangrams/223_184.png,/tangrams/403_386.png,1,16,1,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,125,2
1,/tangrams/403_386.png;/tangrams/115_220.png;/tangrams/15_188.png;/tangrams/399_260.png,/tangrams/115_220.png,1,33,3,TRUE,missing >50% of trials; accuracy below 75%,match,2,3,4,126,2
1,/tangrams/115_220.png;/tangrams/349_309.png;/tangrams/15_188.png;/tangrams/334_285.png,/tangrams/15_188.png,1,23,2,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,127,2
1,/tangrams/198_389.png;/tangrams/399_260.png;/tangrams/128_429.png;/tangrams/66_99.png,/tangrams/66_99.png,1,61,4,TRUE,missing >50% of trials; accuracy below 75%,match,2,4,3,128,2
1,/tangrams/256_439.png;/tangrams/143_146.png;/tangrams/431_465.png;/tangrams/142_421.png,/tangrams/142_421.png,1,49,4,FALSE,NA,match,2,6,5,129,3
1,/tangrams/267_178.png;/tangrams/81_320.png;/tangrams/259_154.png;/tangrams/224_179.png,/tangrams/267_178.png,1,54,4,FALSE,NA,match,2,5,6,130,3
1,/tangrams/280_202.png;/tangrams/143_146.png;/tangrams/142_421.png;/tangrams/440_270.png,/tangrams/280_202.png,1,12,1,FALSE,NA,match,2,6,5,131,3
1,/tangrams/280_202.png;/tangrams/352_28.png;/tangrams/224_179.png;/tangrams/142_421.png,/tangrams/280_202.png,1,47,3,FALSE,NA,match,2,5,6,132,3
1,/tangrams/440_270.png;/tangrams/143_146.png;/tangrams/142_421.png;/tangrams/267_178.png,/tangrams/142_421.png,1,9,1,FALSE,NA,match,2,5,6,133,3
1,/tangrams/267_178.png;/tangrams/431_465.png;/tangrams/383_108.png;/tangrams/288_93.png,/tangrams/288_93.png,1,19,2,FALSE,NA,match,2,6,5,134,3
1,/tangrams/280_202.png;/tangrams/288_93.png;/tangrams/224_179.png;/tangrams/143_146.png,/tangrams/143_146.png,1,41,3,FALSE,NA,match,2,5,6,135,3
1,/tangrams/352_28.png;/tangrams/355_222.png;/tangrams/142_421.png;/tangrams/280_202.png,/tangrams/352_28.png,1,44,3,FALSE,NA,match,2,6,5,136,3
1,/tangrams/109_153.png;/tangrams/440_270.png;/tangrams/259_154.png;/tangrams/288_93.png,/tangrams/109_153.png,1,11,1,FALSE,NA,match,2,5,6,137,3
1,/tangrams/440_270.png;/tangrams/383_108.png;/tangrams/355_222.png;/tangrams/224_179.png,/tangrams/355_222.png,1,53,4,FALSE,NA,match,2,5,6,138,3
1,/tangrams/224_179.png;/tangrams/431_465.png;/tangrams/256_439.png;/tangrams/440_270.png,/tangrams/224_179.png,1,45,3,FALSE,NA,match,2,5,6,139,3
1,/tangrams/352_28.png;/tangrams/81_320.png;/tangrams/256_439.png;/tangrams/143_146.png,/tangrams/143_146.png,1,51,4,FALSE,NA,match,2,5,6,140,3
1,/tangrams/143_146.png;/tangrams/142_421.png;/tangrams/81_320.png;/tangrams/256_439.png,/tangrams/81_320.png,1,40,3,FALSE,NA,match,2,6,5,141,3
1,/tangrams/259_154.png;/tangrams/383_108.png;/tangrams/81_320.png;/tangrams/352_28.png,/tangrams/81_320.png,1,61,4,FALSE,NA,match,2,5,6,142,3
