room_num,option_set,target,stage_num,trial_num,rep_num,exclude,exclusion_reason,order_match,condition_id,describer,matchers,trial_id,game_id
1,1;2;3;4;5;6,5,1,8,2,FALSE,NA,order,1,24,4,140,4
1,1;2;3;4;5;6,6,1,9,2,FALSE,NA,order,1,24,4,141,4
1,1;2;3;4;5;6,3,1,10,2,FALSE,NA,order,1,24,4,142,4
1,1;2;3;4;5;6,1,1,11,2,FALSE,NA,order,1,24,4,143,4
1,1;2;3;4;5;6,2,1,12,2,FALSE,NA,order,1,24,4,144,4
1,1;2;3;4;5;6,6,1,7,2,FALSE,NA,order,1,25,5,145,5
1,1;2;3;4;5;6,5,1,8,2,FALSE,NA,order,1,25,5,146,5
1,1;2;3;4;5;6,4,1,9,2,FALSE,NA,order,1,25,5,147,5
1,1;2;3;4;5;6,1,1,10,2,FALSE,NA,order,1,25,5,148,5
1,1;2;3;4;5;6,2,1,11,2,FALSE,NA,order,1,25,5,149,5
1,1;2;3;4;5;6,3,1,12,2,FALSE,NA,order,1,25,5,150,5
1,1;2;3;4;5;6,6,1,7,2,FALSE,NA,order,1,26,6,151,6
1,1;2;3;4;5;6,2,1,8,2,FALSE,NA,order,1,26,6,152,6
1,1;2;3;4;5;6,5,1,9,2,FALSE,NA,order,1,26,6,153,6
1,1;2;3;4;5;6,4,1,10,2,FALSE,NA,order,1,26,6,154,6
1,1;2;3;4;5;6,3,1,11,2,FALSE,NA,order,1,26,6,155,6
1,1;2;3;4;5;6,1,1,12,2,FALSE,NA,order,1,26,6,156,6
1,1;2;3;4;5;6,4,1,7,2,FALSE,NA,order,1,27,7,157,7
1,1;2;3;4;5;6,3,1,8,2,FALSE,NA,order,1,27,7,158,7
1,1;2;3;4;5;6,2,1,9,2,FALSE,NA,order,1,27,7,159,7
1,1;2;3;4;5;6,5,1,10,2,FALSE,NA,order,1,27,7,160,7
1,1;2;3;4;5;6,1,1,11,2,FALSE,NA,order,1,27,7,161,7
1,1;2;3;4;5;6,6,1,12,2,FALSE,NA,order,1,27,7,162,7
1,1;2;3;4;5;6,4,1,7,2,FALSE,NA,order,1,28,8,163,8
1,1;2;3;4;5;6,3,1,8,2,FALSE,NA,order,1,28,8,164,8
1,1;2;3;4;5;6,1,1,9,2,FALSE,NA,order,1,28,8,165,8
1,1;2;3;4;5;6,6,1,10,2,FALSE,NA,order,1,28,8,166,8
1,1;2;3;4;5;6,2,1,11,2,FALSE,NA,order,1,28,8,167,8
1,1;2;3;4;5;6,5,1,12,2,FALSE,NA,order,1,28,8,168,8
1,1;2;3;4;5;6,5,1,7,2,FALSE,NA,order,1,29,9,169,9
1,1;2;3;4;5;6,1,1,8,2,FALSE,NA,order,1,29,9,170,9
1,1;2;3;4;5;6,2,1,9,2,FALSE,NA,order,1,29,9,171,9
1,1;2;3;4;5;6,6,1,10,2,FALSE,NA,order,1,29,9,172,9
1,1;2;3;4;5;6,4,1,11,2,FALSE,NA,order,1,29,9,173,9
1,1;2;3;4;5;6,3,1,12,2,FALSE,NA,order,1,29,9,174,9
1,1;2;3;4;5;6,3,1,7,2,FALSE,NA,order,1,30,10,175,10
1,1;2;3;4;5;6,1,1,8,2,FALSE,NA,order,1,30,10,176,10
1,1;2;3;4;5;6,4,1,9,2,FALSE,NA,order,1,30,10,177,10
1,1;2;3;4;5;6,5,1,10,2,FALSE,NA,order,1,30,10,178,10
1,1;2;3;4;5;6,2,1,11,2,FALSE,NA,order,1,30,10,179,10
1,1;2;3;4;5;6,6,1,12,2,FALSE,NA,order,1,30,10,180,10
1,1;2;3;4;5;6,3,1,7,2,FALSE,NA,order,1,31,11,181,11
1,1;2;3;4;5;6,2,1,8,2,FALSE,NA,order,1,31,11,182,11
1,1;2;3;4;5;6,6,1,9,2,FALSE,NA,order,1,31,11,183,11
1,1;2;3;4;5;6,5,1,10,2,FALSE,NA,order,1,31,11,184,11
1,1;2;3;4;5;6,1,1,11,2,FALSE,NA,order,1,31,11,185,11
1,1;2;3;4;5;6,4,1,12,2,FALSE,NA,order,1,31,11,186,11
1,1;2;3;4;5;6,3,1,7,2,FALSE,NA,order,1,32,12,187,12
1,1;2;3;4;5;6,2,1,8,2,FALSE,NA,order,1,32,12,188,12
